Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
103;Malawi;Africa;10758;9706;234205;26542;21,77;166
104;Bahrain;Middle East;10751;9793;147546;6812;13,72;117
105;Botswana;Africa;10411;9268;161915;14356;15,55;127
106;Syrian Arab Republic;Middle East;9942;9398;148718;11427;14,96;130
107;Panama;Latin America;9810;9059;405770;30041;41,36;242
108;Moldova;Eastern Europe;9694;9254;146799;16295;15,14;135
109;Burkina Faso;Africa;9037;8562;154752;19998;17,12;126
110;Zambia;Africa;8814;7876;202453;17100;22,97;151
111;Côte d’Ivoire;Africa;8664;8174;154129;11683;17,79;134
112;Trinidad and Tobago;Latin America;8325;7365;115333;7367;13,85;117
113;Jamaica;Latin America;8206;6984;145919;9778;17,78;121
114;Libya;Africa;8152;7782;99791;4160;12,24;94
115;Yemen;Middle East;7891;7562;108665;10291;13,77;98
116;Benin;Africa;7770;7384;159520;15227;20,53;117
117;Mongolia;Asiatic Region;7115;6677;104903;11670;14,74;117
118;Albania;Eastern Europe;6975;6460;66152;5067;9,48;85
119;Brunei Darussalam;Asiatic Region;6683;5861;90226;7974;13,5;105
120;Bolivia;Latin America;6365;5858;170690;10254;26,82;151
121;Congo;Africa;6268;5755;137493;8593;21,94;133
122;Montenegro;Eastern Europe;6120;5758;57948;8594;9,47;80
123;Mozambique;Africa;5964;5425;161893;11182;27,15;130
124;Madagascar;Africa;5820;5489;100776;14602;17,32;113
125;Cambodia;Asiatic Region;5815;5228;118637;12533;20,4;128
126;Myanmar;Asiatic Region;5767;5269;84301;6503;14,62;95
127;Rwanda;Africa;5533;4948;113241;7386;20,47;107
128;Namibia;Africa;5472;4849;98074;7602;17,92;119
129;Fiji;Pacific Region;5448;4799;106707;7460;19,59;109
130;Mauritius;Africa;4975;4449;71251;6251;14,32;104
131;Mali;Africa;4675;4356;103123;7937;22,06;124
132;Guatemala;Latin America;4551;4134;87136;5294;19,15;110
133;Kyrgyzstan;Asiatic Region;4132;3767;101706;4140;24,61;103
134;Papua New Guinea;Pacific Region;3907;3609;92047;6800;23,56;112
135;Paraguay;Latin America;3769;3459;65678;3716;17,43;103
136;Laos;Asiatic Region;3763;3441;69986;7671;18,6;107
137;Gabon;Africa;3463;3235;83800;7471;24,2;120
138;Gambia;Africa;3396;3130;150028;8557;44,18;145
139;New Caledonia;Pacific Region;3343;3144;122063;9489;36,51;123
140;Monaco;Western Europe;3001;2696;97249;6661;32,41;126
141;Niger;Africa;2939;2736;56580;4187;19,25;96
142;Togo;Africa;2856;2650;41900;2191;14,67;63
143;Barbados;Latin America;2802;2327;82986;2432;29,62;102
144;Dominican Republic;Latin America;2777;2583;37986;2001;13,68;81
145;Afghanistan;Asiatic Region;2674;2346;64658;1950;24,18;69
146;Tajikistan;Asiatic Region;2642;2545;19225;2696;7,28;58
147;Democratic Republic Congo;Africa;2538;2334;40747;1722;16,05;78
148;Honduras;Latin America;2476;2271;38867;1658;15,7;76
149;Grenada;Latin America;2438;2108;27664;1376;11,35;63
150;Nicaragua;Latin America;2252;2077;49498;2883;21,98;100
151;French Polynesia;Pacific Region;2247;2089;58799;5155;26,17;99
152;Liechtenstein;Western Europe;2231;2007;49290;3310;22,09;103
153;El Salvador;Latin America;2010;1829;34526;1553;17,18;77
154;Swaziland;Africa;1986;1837;28336;1274;14,27;73
155;Guadeloupe;Latin America;1898;1757;35941;1723;18,94;79
